begin|end|distance｜aBPM|mBPM
2023-10-10 18:31:00|2023-10-10 19:09:00|6.74|150|183
2023-10-12 19:24:15|2023-10-12 20:03:00|7.37|153|169
2023-10-13 19:11:15|2023-10-13 19:50:18|7.08|148|163
2023-10-23 18:28:00|2023-10-23 19:10:01|7.00|0|0
2023-10-24 18:36:00|2023-10-24 19:16:25|7.03|155|172
2023-10-26 18:25:00|2023-10-26 19:23:23|10.17|154|171
2023-10-27 19:26:00|2023-10-27 20:06:06|7.04|155|177
2023-10-29 06:35:00|2023-10-29 08:40:44|21.17|149|173
2023-10-30 18:51:00|2023-10-30 19:31:02|7.00|151|163
2023-11-01 13:03:00|2023-11-01 13:40:25|7.28|0|0
2023-11-02 19:00:00|2023-11-02 19:39:59|7.03|149|160
2023-11-06 19:32:00|2023-11-06 20:11:14|7.02|160|197
2023-11-07 18:59:00|2023-11-07 19:38:12|7.07|154|187
2023-11-08 12:23:00|2023-11-08 12:44:50|4.03|158|190
2023-11-11 15:36:00|2023-11-11 17:51:40|25.03|170|190
2023-11-15 18:57:00|2023-11-15 19:30:59|6.03|151|183
2023-11-16 18:23:00|2023-11-16 20:01:04|7.11|149|175
2023-11-17 18:43:00|2023-11-17 20:21:31|7.04|150|163
2023-11-21 18:53:00|2023-11-21 19:32:19|7.11|154|188
2023-11-23 19:02:00|2023-11-23 19:39:25|7.04|157|196
2023-11-24 19:44:00|2023-11-24 20:21:23|7.34|153|186
2023-11-27 19:00:00|2023-11-27 19:37:27|7.07|156|181
2023-11-28 18:50:00|2023-11-28 19:28:10|7.01|171|193
2023-11-30 18:53:00|2023-11-30 19:48:26|10.10|185|197
2023-12-04 18:37:00|2023-12-04 19:15:34|7.04|145|160
2023-12-06 13:39:00|2023-12-06 13:15:03|7.18|157|175
2023-12-07 18:29:00|2023-12-07 19:06:32|7.07|152|164
2023-12-08 18:58:00|2023-12-09 19:35:22|7.07|152|172
2023-12-12 18:29:00|2023-12-12 19:06:31|7.19|152|162
2023-12-15 18:26:00|2023-12-15 19:20:38|10.11|156|170
